Key,Source,Context,Changes,English,French,German,Klingon,Spanish
rifles,progression,Skill,KgNone,Rifles,Fusils,Gewehre,,Rifles
riflesDesc,progression,Skill,KgNone,Do more damage with rifles and assault rifles. Gain skill by using items from this group.,Infligez davantage de dégâts avec les fusils et fusils d'assaut. Obtenez cette compétence en utilisant des objets de ce groupe.,"Verursache mehr Schaden mit Gewehren und Sturmgewehren. Erhalte die Fertigkeit, indem du Waffen aus dieser Kategorie benutzt.",,Inflige más daño con rifles y rifles de asalto. Mejora tu habilidad usando objetos de este grupo.
runForestRunDesc,progression,Skill,KgNone,Running uses 10% less stamina per rank.,Courir consomme 10 % d'endurance en moins par rang.,Laufen verbraucht pro Rang 10 % weniger Ausdauer.,,Correr consume un 10 % menos de resistencia por nivel.
scavenging,progression,Skill,KgNone,Scavenging,Glanage,Plünderung,,Carroñar
scavengingDesc,progression,Skill,KgNone,Be the scrounge master and get faster at looting and gain a higher % chance for better loot. Gain skill by opening untouched loot containers.,"Soyez le maître de la débrouille, pillez plus rapidement et obtenez un pourcentage de chance plus élevé de remporter un butin plus intéressant. Obtenez cette compétence en ouvrant les dépôts de butin intacts.",Sei der Meisterschnorrer und plündere schneller. Erhalte zudem eine höhere Prozentchance auf bessere Beute. Erhalte die Fertigkeit durch das Öffnen von unberührten Behältern.,,Sé el maestro de la gorronería: saquea más rápido y obtén un % de probabilidad más alto de conseguir mejores botines. Mejora tu habilidad abriendo contenedores de botín sin tocar.
shotguns,progression,Skill,KgNone,Shotguns,Fusils à pompe,Schrotflinten,,Escopetas
shotgunsDesc,progression,Skill,KgNone,Do more damage with spread weapons. Gain skill by using items from this group.,Infligez davantage de dégâts avec les armes dont les munitions se dispersent. Obtenez cette compétence en utilisant des objets de ce groupe.,"Verursache mehr Schaden mit Streuwaffen. Erhalte die Fertigkeit, indem du Waffen aus dieser Kategorie benutzt.",,Inflige más daño con armas expansivas. Mejora tu habilidad usando objetos de este grupo.
shotgunShellCrafting,progression,Skill,KgNone,Shotgun Shell Crafting,Fabrication de cartouches de fusil à pompe,Handwerk – Flintenmunition,,Fabricación de cartuchos de escopeta.
steelSmithing,progression,Skill,KgNone,Steel Smithing,Forgeron d'acier,Stahlschmieden,,Forja de acero
steelSmithingDesc,progression,Skill,EnChanged,Unlocks Steel smithing. Upgrade the forge with a crucible to create steel ingots and bulletproof glass.,"Déverrouille la compétence de forgeron d'acier. Agrandit la forge pour créer des lingots d'acier, des outils en acier, des portes de chambre forte et plus encore.","Schaltet das Stahlschmieden frei. Erweitere die Schmiede, um Stahlbarren, Stahlwerkzeuge, Tresortüren und mehr zu schmieden.",,"Desbloquea la forja de acero. Expande la forja para crear lingotes de acero, herramientas de acero, puertas para bóvedas y más."
tailoring,progression,Skill,KgNone,Tailoring,Confection,Schneiderei,,Sastrería
tailoringDesc,progression,Skill,KgNone,Craft plant fiber or cloth clothing faster and at better quality. Decrease repair penalties and get more from repair kits. Gain skill by crafting and repairing items from this group.,Fabriquez des vêtements en fibres végétales ou en tissu plus rapidement et de meilleure qualité. Diminuez les pénalités de réparation et obtenez davantage de kits de réparation. Obtenez cette compétence en fabriquant et en réparant des objets de ce groupe.,"Fertige Pflanzenfaser- oder Stoffkleidung schneller und von besserer Qualität. Senke die Reparaturabzüge und hole mehr aus deinen Reparaturkits heraus. Erhalte die Fertigkeit, indem du Gegenstände aus dieser Kategorie fertigst und reparierst.",,Fabrica fibra vegetal o tejidos para ropa más rápido y con mejor calidad. Disminuye los castigos de reparación y otorga más kits de reparación. Mejora tu habilidad fabricando y reparando objetos de este grupo.
theCamel,progression,Skill,KgNone,The Camel,Le chameau,Das Kamel,,El camello
theCamelDesc,progression,Skill,KgNone,Slows your thirst so you don't have to drink as much.,"Ralentit votre soif, vous n'avez pas besoin de boire tant que ça.",Du wirst langsamer durstig und musst somit weniger trinken.,,Disminuye la sed para que no tengas que beber tanto.
theDecapitatorDesc,progression,Skill,KgNone,"Increases chance to dismember or decapitate a zombie with each rank, using a bladed weapon.",Augmente les chances de démembrer ou de décapiter un zombie à chaque rang avec une arme à lame.,"Erhöht mit jedem Rang die Chance, ein Zombie mit einer Klingenwaffe zu zergliedern oder zu enthaupten.",,Incrementa la probabilidad de desmembrar o decapitar a un zombi con cada nivel usando un arma de hoja.
theFixer,progression,Skill,KgNone,The Fixer,Le réparateur,Der Reparaturmeister,,El reparador
theFixerDesc,progression,Skill,KgNone,"Reduces repair time, how much repair materials are used, and amount of durability lost with each rank.","Réduit le temps de réparation, la quantité de matériaux de réparation utilisés et la durabilité perdue au fil des rangs.","Senkt pro Rang die Reparaturzeit, wie viele Materialien nötig sind und wie viel Haltbarkeit nach jeder Reparatur verloren geht.",,"Reduce el tiempo de reparación, la cantidad de materiales necesarios para reparar y la durabilidad perdida con cada nivel."
theSurvivor,progression,Skill,KgNone,The Survivor,Le survivant,Der Überlebende,,El sobreviviente
theSurvivorDesc,progression,Skill,KgNone,Slows your metabolism so you don't need to eat as often. Gain more wellness from everything you do!,"Ralentit votre métabolisme, vous n'avez pas besoin de manger aussi souvent. Tout ce que vous faites augmente votre bien-être !","Verlangsamt den Metabolismus, damit du seltener essen musst. Erhalte mehr Wohlbefinden durch alles, was du tust!",,Retrasa el metabolismo para que no tengas que comer tanto. ¡Obtén más bienestar por cada cosa que hagas!
treasureHunter,progression,Skill,KgNone,Treasure Hunter,Chasseur de trésors,Schatzsucher,,Cazador de tesoros
treasureHunterDesc,progression,Skill,KgNone,Arrrgh Mateys! Improve your compass treasure tracking and get better at finding treasure.,"Ohé, moussaillons ! Améliorez votre boussole de repérage de trésor et devenez un meilleur chasseur de trésor.",Ahoi Freundchen! Verbessere die Schatzsuchfunktion deines Kompasses und werde ein besserer Schatzsucher.,,"¡Arrr, grumetes! Mejora el seguimiento de tesoros de tu brújula y mejora tu habilidad para encontrar tesoros."
lootAccess,UI,Access Prompt,KgNone,<{0}> Access {1},<{0}> accède à {1},<{0}> {1} betreten,,<{0}> accede a {1}
auth_reason,UI,AuthenticationMessages,KgNone,Reason: {0},Raison: {0},Grund: {0},,Razón: {0}
uiBackToMain,UI,Generic,KgNone,Return to main menu,Retour au menu principal,Zurück zum Hauptmenü,,Volver al menú principal
blockCantPlaced,UI,HUD,KgNone,Not possible to place here.,Impossible à placer ici.,Kann hier nicht platziert werden.,,No se puede poner aquí.
diedGameMessage,UI,HUD,KgNone,[A0]{0} died,[A0]{0} a péri,[A0]{0} ist gestorben,,[A0]{0} murió.
joinGameMessage,UI,HUD,KgNone,[A0]{0} joined the game,[A0]{0} a rejoint la partie,[A0]{0} ist dem Spiel beigetreten,,[A0]{0} se unió a la partida.
killedGameMessage,UI,HUD,KgNone,[A0]{0} eliminated {1},[A0]{0} a éliminé {1},[A0]{0} hat {1} eliminiert,,[A0]{0} eliminó a {1}.
leaveGameMessage,UI,HUD,KgNone,[A0]{0} left the game,[A0]{0} a quitté la partie,[A0]{0} hat das Spiel verlassen,,[A0]{0} abandonó la partida.
noSecureDoorAccess,UI,HUD,KgNone,No Access,Accès refusé,Kein Zugang,,Sin acceso
sleepingBagOwnership,UI,HUD,KgNone,{0} is owned by {1},{0} appartient à {1},{0} gehört {1},,{0} pertenece a {1}.
sleepingBagPlayerUnknown,UI,HUD,KgNone,an unknown player,un joueur inconnu,ein unbekannter Spieler,,un jugador desconocido
sneakDamageBonus,UI,HUD,KgNone,- Sneak Damage Bonus (2x) -,- Bonus de dégâts en furtif (2x) -,– Schadensbonus Schleichen (2x) –,,- Bono de daño en sigilo (x2) -
stealthHunted,UI,HUD,KgNone,Hunted,Chassé(e),Gejagt,,Cazado
stealthSensed,UI,HUD,KgNone,Sensed,Ressenti(e),Gespürt,,Detectado
stealthUndetected,UI,HUD,KgNone,Undetected,Non détecté(e),Versteckt,,Inadvertido
stunnedDamageBonus,UI,HUD,KgNone,- Stunned Damage Bonus ({0}x) -,- Bonus de dégâts d'étourdissement ({0}x) -,– Schadensbonus Lähmung ({0}x) –,,- Bono de daño por aturdimiento (x{0}) -
useCampfire,UI,HUD,KgNone,Press <{0}> to use,Appuyer sur <{0}> pour utiliser,Zum Benutzen <{0}> drücken,,Presiona <{0}> para usar.
useForge,UI,HUD,KgNone,Press <{0}> to use,Appuyer sur <{0}> pour utiliser,Zum Benutzen <{0}> drücken,,Presiona <{0}> para usar.
useSecureDoor,UI,HUD,KgNone,Press <{0}> to open,Appuyer sur <{0}> pour ouvrir,Zum Öffnen <{0}> drücken,,Presiona <{0}> para abrir.
useWorkstation,UI,HUD,KgNone,Press <{0}> to use,Appuyer sur <{0}> pour utiliser,Zum Benutzen <{0}> drücken,,Presiona <{0}> para usar.
lblContextActionAssemble,UI,Item Context Menu,KgNone,Assemble,Assembler,Zusammensetzen,,Ensamblar
lblContextActionAttach,UI,Item Context Menu,KgNone,Attach,Attacher,Anbringen,,Conectar
lblContextActionBurn,UI,Item Context Menu,KgNone,Burn,Brûler,Verbrennen,,Quemar
lblContextActionBuy,UI,Item Context Menu,KgNone,Buy,Acheter,Kaufen,,Comprar
lblContextActionCompare,UI,Item Context Menu,KgNone,Compare,Comparer,Vergleichen,,Comparar
lblContextActionComplete,UI,Item Context Menu,KgNone,Complete,Terminer,Abschließen,,Completar
lblContextActionCook,UI,Item Context Menu,KgNone,Cook,Cuisiner,Kochen,,Cocinar
lblContextActionCraft,UI,Item Context Menu,KgNone,Craft,Fabriquer,Fertigen,,Fabricar
lblContextActionDrink,UI,Item Context Menu,KgNone,Drink,Boire,Trinken,,Beber
lblContextActionDrop,UI,Item Context Menu,KgNone,Drop,Laisser tomber,Fallenlassen,,Soltar
lblContextActionEat,UI,Item Context Menu,KgNone,Eat,Manger,Essen,,Comer
lblContextActionEquip,UI,Item Context Menu,KgNone,Equip,Équiper,Ausrüsten,,Equipar
lblContextActionExamine,UI,Item Context Menu,KgNone,Examine,Examiner,Untersuchen,,Investigar
lblContextActionFavorite,UI,Item Context Menu,KgNone,Favorite,Mettre en favori,Favoriten,,Favoritos
lblContextActionHeal,UI,Item Context Menu,KgNone,Use,Utiliser,Benutzen,,Usar
lblContextActionLoad,UI,Item Context Menu,KgNone,Load,Charger,Laden,,Cargar
lblContextActionRead,UI,Item Context Menu,KgNone,Read,Lire,Lesen,,Leer
lblContextActionRecipes,UI,Item Context Menu,KgNone,Recipes,Compositions,Rezepte,,Recetas
lblContextActionRepair,UI,Item Context Menu,KgNone,Repair,Réparer,Reparieren,,Reparar
lblContextActionScrap,UI,Item Context Menu,KgNone,Scrap,Recycler,Zerlegen,,Despedazar
lblContextActionSmelt,UI,Item Context Menu,KgNone,Smelt,Fondre,Einschmelzen,,Fundir
lblContextActionSplit,UI,Item Context Menu,KgNone,Split,Séparer,Teilen,,Dividir
lblContextActionStore,UI,Item Context Menu,KgNone,Store,Ranger,Lagern,,Almacenar
lblContextActionTake,UI,Item Context Menu,KgNone,Take,Prendre,Nehmen,,Recoger
lblContextActionWear,UI,Item Context Menu,KgNone,Wear,Porter,Tragen,,Vestir
lblContextCraftAmmoWeapons,UI,Item Context Menu,KgNone,Ammo/Weapons,Munitions/armes,Munition/Waffen,,Munición/armas
lblContextCraftBasics,UI,Item Context Menu,KgNone,Basics,Bases,Grundlagen,,Básico
lblContextCraftBrowse,UI,Item Context Menu,KgNone,Browse,Parcourir,Durchgehen,,Explorar
lblContextCraftBuilding,UI,Item Context Menu,KgNone,Building,Construire,Gebäude,,Construcción
lblContextCraftClothing,UI,Item Context Menu,KgNone,Clothing,Vêtements,Kleidung,,Ropa
lblContextCraftCount,UI,Item Context Menu,KgNone,Count,Compter,Zahl,,Recuento
lblContextCraftFoodCooking,UI,Item Context Menu,KgNone,Food/Cooking,Nourriture/cuisine,Nahrung/Kochen,,Comida/Cocina
lblContextCraftForgingMolds,UI,Item Context Menu,KgNone,Forging/Molds,Forge/moules,Schmieden/Gussformen,,Forja/moldes
lblContextCraftFurnitureDecor,UI,Item Context Menu,KgNone,Furniture/Decor,Meubles/décorations,Möbel/Dekor,,Mobiliario/decoración
lblContextCraftMedicine,UI,Item Context Menu,KgNone,Medicine,Médecine,Medizin,,Medicina
lblContextCraftMiscellaneous,UI,Item Context Menu,KgNone,Miscellaneous,Divers,Sonstiges,,Varios
lblContextCraftResources,UI,Item Context Menu,KgNone,Resources,Ressources,Rohstoffe,,Recursos
lblContextCraftToolsTraps,UI,Item Context Menu,KgNone,Tools/Traps,Outils/pièges,Werkzeuge/Fallen,,Herramientas/trampas
lblContextHeaderCategories,UI,Item Context Menu,KgNone,Categories,Catégories,Kategorien,,Categorías
lblContextHeaderItemDetails,UI,Item Context Menu,KgNone,Item Details,Description de l'objet,Gegenstand-Infos,,Detalles del objeto
lblAttributeAccuracy,UI,Item Info,KgNone,Accuracy,Précision,Genauigkeit,,Precisión
lblAttributeApplyBuff,UI,Item Info,KgNone,Apply Buff,Appliquer le buff,Buff anwenden,,Aplicar aumento
lblAttributeBatteryDischargeTimeInMinutes,UI,Item Info,KgNone,Discharge Time (Minutes),Temps de déchargement (minutes),Entladungszeit (Minuten),,Tiempo de descarga (minutos)
lblAttributeBatteryMaxLoadInVolts,UI,Item Info,KgNone,Max Load (Volts),Chargement max. (volts),Max. Spannung (Volt),,Carga máxima (voltios)
lblAttributeBlockDamage,UI,Item Info,KgNone,Block Damage,Dégâts de bloc,Blockschaden,,Daño en bloque
lblAttributeBluntProtection,UI,Item Info,KgNone,Blunt Defense,Défense contre les armes contondantes,Verteidigung gegen Stumpfe Waffen,,Defensa anticontundentes
lblAttributeBulletProtection,UI,Item Info,KgNone,Bullet Defense,Défense contre les balles,Verteidigung gegen Kugeln,,Defensa antibalas
lblAttributeConcussiveProtection,UI,Item Info,KgNone,Concussive,Commotions,Schläge,,Conmoción
lblAttributeDamageText,UI,Item Info,KgNone,damage,dégâts,Schaden,,daño
lblAttributeDegradationMax,UI,Item Info,KgNone,Max Degradation,Dégradation max.,Max. Abnutzung,,Degradación máxima
lblAttributeDegradationMin,UI,Item Info,KgNone,Min Degradation,Dégradation min.,Min. Abnutzung,,Degradación mínima
lblAttributeDegradationRate,UI,Item Info,KgNone,Degradation Rate,Taux de dégradation,Abnutzungsrate,,Velocidad de degradación
lblAttributeDegradationText,UI,Item Info,KgNone,xxx,xxx,xxx,,xxx
lblAttributeDismembermentBaseChance,UI,Item Info,KgNone,Sever Chance,Chance de tranchage,Abtrenn-Chance,,Probabilidad de amputación
lblAttributeDismembermentBonus,UI,Item Info,KgNone,Sever Bonus,Bonus de tranchage,Abtrenn-Bonus,,Bono de amputación
lblAttributeEntityDamage,UI,Item Info,KgNone,Entity Damage,Dégâts d'entité,Wesen-Schaden,,Daño a entidades
lblAttributeExplosiveProtection,UI,Item Info,KgNone,Explosive,Explosions,Sprengstoff,,Explosión
lblAttributeFalloffRangeText,UI,Item Info,KgNone,m,m,m,,m
lblAttributeFireProtection,UI,Item Info,KgNone,Fire,Feu,Feuer,,Fuego
lblAttributeGainFood,UI,Item Info,KgNone,Gain Fullness,Gain en plénitude,Erhalte Sättigung,,Aumenta la saciedad
lblAttributeGainGas,UI,Item Info,KgNone,Gain Gas,Gain en essence,Erhalte Benzin,,Aumenta los gases
lblAttributeGainHealth,UI,Item Info,KgNone,Gain Health,Gain en santé,Erhalte Gesundheit,,Aumenta la salud
lblAttributeGainSickness,UI,Item Info,KgNone,Gain Sickness,Gain en maladie,Erhalte Krankheit,,Aumenta la enfermedad
lblAttributeGainStamina,UI,Item Info,KgNone,Gain Stamina,Gain en endurance,Erhalte Ausdauer,,Aumenta la resistencia
lblAttributeGainWater,UI,Item Info,KgNone,Gain Water,Gain en eau,Erhalte Wasser,,Aumenta el agua
lblAttributeGainWellness,UI,Item Info,KgNone,Gain Wellness,Gain en bien-être,Erhalte Wohlbefinden,,Aumenta el bienestar
lblAttributeInsulation,UI,Item Info,KgNone,Insulation,Isolation,Wärmedämmung,,Aislamiento
lblAttributeLightIntensity,UI,Item Info,KgNone,Light Intensity,Intensité légère,Lichtintensität,,Intensidad de luz
lblAttributeMeleeProtection,UI,Item Info,KgNone,Melee,Armes de mêlée,Nahkampf,,Cuerpo a cuerpo
lblAttributeNoiseRange,UI,Item Info,KgNone,Noise Range,Portée du bruit,Geräuschradius,,Rango de ruido
lblAttributePunctureProtection,UI,Item Info,KgNone,Puncture,Armes perforantes,Stiche,,Perforación
lblAttributeRadiationProtection,UI,Item Info,KgNone,Radiation,Radiations,Strahlung,,Radiación
lblAttributeRecipe,UI,Item Info,KgNone,Recipe,Composition,Rezept,,Receta
lblAttributesTitle,UI,Item Info,KgNone,\n[00ff00]ATTRIBUTES:[-]\n,\n[00ff00]ATTRIBUTS :[-]\n,\n[00ff00]ATTRIBUTE:[-]\n,,\n[00ff00]ATRIBUTOS:[-]\n
lblAttributeVehicleAcceleration,UI,Item Info,KgNone,Acceleration,Accélération,Beschleunigung,,Aceleración
lblAttributeVehicleBraking,UI,Item Info,KgNone,Braking,Freinage,Bremsen,,Frenado
lblAttributeVehicleDamagePassedToPlayer,UI,Item Info,KgNone,Damage Passed To Player,Dégâts passés au joueur,"Schaden, der an den Spieler weitergeleitet wird",,Daño reflejado al jugador
lblAttributeVehicleDrag,UI,Item Info,KgNone,Drag,Traîner,Ziehen,,Arrastrar
lblAttributeVehicleIdleSecondsPerLiter,UI,Item Info,KgNone,Idle Seconds Per Liter,Secondes au ralenti par litre,Sekunden im Leerlauf pro Liter,,Segundos inactivos por litro
lblAttributeVehicleMaxSpeed,UI,Item Info,KgNone,Max Speed,Vitesse maximale,Max. Geschwindigkeit,,Velocidad máxima
lblAttributeVehicleMaxSteeringAngle,UI,Item Info,KgNone,Max Steering Angle,Angle de direction maximal,Max. Lenkeinschlag,,Ángulo de dirección máximo
lblAttributeVehicleMetersPerLiter,UI,Item Info,KgNone,Meters Per Liter,Mètres par litre,Meter pro Liter,,Metros por litro
lblAttributeVehicleNoise,UI,Item Info,KgNone,Noise Amount,Quantité de bruit,Lärm,,Nivel de ruido
lblAttributeVehiclePlayerStaminaDrainRate,UI,Item Info,KgNone,Player Stamina Drain Rate,Taux de perte d'endurance du joueur,Ausdauersenkungsrate,,Índice de drenaje de resistencia del jugador
lblAttributeVehicleStartChance,UI,Item Info,KgNone,Start Chance,Chance de départ,Start-Chance,,Probabilidad de arranque
lblAttributeVehicleStartDelayInSeconds,UI,Item Info,KgNone,Start Delay,Délai de départ,Start-Verzögerung,,Retraso de arranque
lblAttributeVehicleSteering,UI,Item Info,KgNone,Steering Speed,Vitesse de direction,Lenkeinschlag-Geschwindigkeit,,Velocidad de dirección
lblAttributeVehicleTankSize,UI,Item Info,KgNone,Tank Size,Taille du réservoir,Tank-Größe,,Tamaño del depósito
lblAttributeVehicleTraction,UI,Item Info,KgNone,Traction,Traction,Bodenhaftung,,Tracción
lblAttributeWaterproof,UI,Item Info,KgNone,Waterproof,Imperméable,Wasserdicht,,A prueba de agua
lblAttributeWaterProtection,UI,Item Info,KgNone,Water Resistance,Résistance à l'eau,Wasserfestigkeit,,Resistencia al agua
lblBagSmllRng,UI,Item Info,KgNone,Bag Smell Range,Portée de la puanteur du sac,Beutel-Geruchsradius,,Rango de olor en mochila
lblBagSmllStr,UI,Item Info,KgNone,Bag Smell Str.,Puissance de la puanteur du sac,Beutel-Geruchsstärke,,Fuerza de olor en mochila
lblBeltSmllRng,UI,Item Info,KgNone,Belt Smell Range,Portée de la puanteur de la ceinture,Gürtel-Geruchsradius,,Rango de olor en cinturón
lblBeltSmllStr,UI,Item Info,KgNone,Belt Smell Str.,Puissance de la puanteur de la ceinture,Gürtel-Geruchsstärke,,Fuerza de olor en cinturón
lblBlkDmg,UI,Item Info,KgNone,Block Damage,Dégâts de bloc,Blockschaden,,Daño en bloque
lblBlkRpr,UI,Item Info,KgNone,Block Repair,Réparation de bloc,Block reparieren,,Reparación de bloqueo
lblBookDesc,UI,Item Info,KgNone,Description,Description,Beschreibung,,Descripción
lblBookTitle,UI,Item Info,KgNone,Title,Titre,Titel,,Título
lblBrnTime,UI,Item Info,KgNone,Burn Time,Durée de combustion,Brenndauer,,Tiempo de combustión
lblCraftingExpertise,UI,Item Info,KgNone,Crafting Expertise,Expertise de fabrication,Handwerksexpertise,,Experiencia de fabricación
lblDurability,UI,Item Info,KgNone,Durability,Durabilité,Haltbarkeit,,Durabilidad
lblEffect,UI,Item Info,KgNone,Effect,Effet,Effekt,,Efecto
lblEffectChance,UI,Item Info,KgNone,Effect Chance,Chance de l'effet,Effekt-Chance,,Probabilidad de efecto
lblEffectDescription,UI,Item Info,KgNone,Effect Description,Description de l'effet,Effekt-Beschreibung,,Descripción de efecto
lblEntDmg,UI,Item Info,KgNone,Entity Damage,Dégâts d'entité,Wesen-Schaden,,Daño a entidades
lblExpertise,UI,Item Info,KgNone,Expertise,Expertise,Expertise,,Experiencia
lblForgeMat,UI,Item Info,KgNone,Forge Material,Matériaux de la forge,Material für die Schmiede,,Material de forja
lblForgeWeight,UI,Item Info,KgNone,Forge Weight,Poids de la forge,Gewicht der Schmiede,,Peso de forja
lblFullness,UI,Item Info,KgNone,Fullness,Plénitude,Sättigung,,Saciedad
lblGassiness,UI,Item Info,KgNone,Gassiness,Proportion de gaz,Aufgeblähtheit,,Gases
lblGearSlot,UI,Item Info,KgNone,Gear Slot,Emplacement d'équipement,Ausrüstungsslot,,Ranura de equipo
lblGroup,UI,Item Info,KgNone,Group(s),Groupe(s),Gruppe(n),,Grupo(s)
lblHardness,UI,Item Info,KgNone,Hardness,Dureté,Härte,,Dureza
lblHealth,UI,Item Info,KgNone,Health,Santé,Gesundheit,,Salud
lblHydration,UI,Item Info,KgNone,Hydration,Hydratation,Hydrierung,,Hidratación
lblKnown,UI,Item Info,KgNone,Known,Connu,Bekannt,,Conocidos
lblMass,UI,Item Info,KgNone,Mass,Masse,Masse,,Masa
lblMaxLoad,UI,Item Info,KgNone,Max Load,Charge maximale,Max. Belastung,,Carga máxima
lblProtection,UI,Item Info,KgNone,Protection,Protection,Schutz,,Protección
lblQuality,UI,Item Info,KgNone,Quality,Qualité,Qualität,,Calidad
lblQualityAverage,UI,Item Info,KgNone,Good {0},{0} standard,{0} (gut),,Aceptable {0}
lblQualityBroken,UI,Item Info,KgNone,Broken {0},{0} cassé(e),{0} (beschädigt),,Averiado {0}
lblQualityDamaged,UI,Item Info,KgNone,Faulty {0},{0} défectueux,{0} (fehlerhaft),,Defectuoso {0}
lblQualityFlawless,UI,Item Info,KgNone,Great {0},{0} super,{0} (großartig),,Genial {0}
lblQualityGreat,UI,Item Info,KgNone,Fine {0},{0} d'exception,{0} (ausgezeichnet),,Bien {0}
lblQualityLegendary,UI,Item Info,KgNone,Flawless {0},{0} impeccable,{0} (makellos),,Perfecto {0}
lblQualityPoor,UI,Item Info,KgNone,Poor {0},{0} de piètre qualité,{0} (schlecht),,Deficiente {0}
lblRepairAmount,UI,Item Info,KgNone,Repair Amount,Réparer la quantité,Reparaturwert,,Cantidad para reparar
lblRepairItem,UI,Item Info,KgNone,Repair:,Réparation:,Reparieren:,,Reparar:
lblRepairItems,UI,Item Info,KgNone,Repair items:\n,Réparer les objets :\n,Gegenstände reparieren:\n,,Reparar objetos:\n
lblRmvEffect,UI,Item Info,KgNone,Removes,Retire,Entfernt,,Elimina
lblStamina,UI,Item Info,KgNone,Stamina,Endurance,Ausdauer,,Resistencia
lblWellness,UI,Item Info,KgNone,Wellness,Bien-être,Wohlbefinden,,Bienestar
loadActionAtlases,UI,Load Actions,KgNone,atlases,atlas,Karten,,atlas
loadActionBlocks,UI,Load Actions,KgNone,blocks,blocs,Blöcke,,bloques
loadActionBlockTextures,UI,Load Actions,KgNone,block textures,textures des blocs,Blocktexturen,,texturas de los bloques
loadActionCharacterModels,UI,Load Actions,KgNone,character models,modèles de personnages,Charaktermodele,,modelos de personajes
loadActionDone,UI,Load Actions,KgNone,done,terminé,Fertig,,hecho
loadActionItems,UI,Load Actions,KgNone,items,objets,Gegenstände,,objetos
loadActionLoading,UI,Load Actions,KgNone,Loading,Chargement en cours,Lädt,,Cargando
loadActionMaterials,UI,Load Actions,KgNone,materials,matériaux,Material,,materiales
loadActionMoveSaveGameFolder,UI,Load Actions,KgNone,moving savegame folder,déplacement du dossier de sauvegarde,Spielstand-Ordner wird verschoben,,moviendo las partidas guardadas
loadActionParticles,UI,Load Actions,KgNone,particles,particules,Partikel,,partículas
loadActionTerrainTextures,UI,Load Actions,KgNone,terrain textures,textures des terrains,Terraintexturen,,texturas del terreno
xuiMapSelfLabel,UI,Map Object Name For Your Character,KgNone,YOU,VOUS,DU,,TÚ
backpackDropped,UI,Menu,KgNone,Dropped Backpack,Sac à dos abandonné,Fallengelassener Rucksack,,Mochila perdida
breakdownWeapon,UI,Menu,KgNone,Breakdown Item,Briser l'objet,Gegenstand zerlegen,,Objeto de ensamble
btnApply,UI,Menu,KgNone,Apply,Appliquer,Anwenden,,Aplicar
btnBack,UI,Menu,KgNone,Back,Retour,Zurück,,Atrás
btnCancel,UI,Menu,KgNone,Cancel,Annuler,Abbrechen,,Cancelar
btnConfigControls,UI,Menu,KgNone,Config Controls,Paramètres des commandes,Steuerung anpassen,,Configurar controles
btnConfirm,UI,Menu,KgNone,Delete,Supprimer,Löschen,,Borrar
btnConnectToServer,UI,Menu,KgNone,Connect To Server,Se connecter au serveur,Mit dem Server verbinden,,Conectar al servidor
btnContinue,UI,Menu,KgNone,Continue,Continuer,Weiter,,Continuar
btnContinueGame,UI,Menu,KgNone,Continue Game,Continuer la partie,Spiel fortsetzen,,Continuar partida
btnCreateWorld,UI,Menu,KgNone,Editing Tools,Outils d'édition,Bearbeitungs-tools,,Herramientas de edición
btnCredits,UI,Menu,KgNone,Credits,Crédits,Mitwirkende,,Créditos
btnDefaults,UI,Menu,KgNone,Defaults,Par défaut,Standardeinstellungen,,Predeterminados
btnDelete,UI,Menu,KgNone,Delete Save,Supprimer la sauvegarde,Speicherstand löschen,,Borrar partida guardada
btnExit,UI,Menu,KgNone,Quit,Quitter,Verlassen,,Salir
btnMoreInfo,UI,Menu,KgNone,More Info,Plus d'informations,Mehr Infos,,Más información
btnMyAccount,UI,Menu,KgNone,My Account,Mon compte,Mein Konto,,Mi cuenta
btnNewGame,UI,Menu,KgNone,New Game,Nouvelle partie,Neues Spiel,,Partida nueva
btnOffline,UI,Menu,KgNone,Offline,Hors ligne,Offline,,Sin conexión
btnOk,UI,Menu,KgNone,Ok,OK,Ok,,Aceptar
btnOptions,UI,Menu,KgNone,Options,Options,Optionen,,Opciones
btnOptionsAudio,UI,Menu,KgNone,Audio,Audio,Audio,,Audio
btnOptionsControls,UI,Menu,KgNone,Controls,Commandes,Steuerung,,Controles
btnOptionsNetwork,UI,Menu,KgNone,Network,Réseau,Netzwerk,,Red
btnOptionsPlayer,UI,Menu,KgNone,Player,Joueur,Spieler,,Jugador
btnOptionsVideo,UI,Menu,KgNone,Video,Vidéo,Video,,Video
btnRentServer,UI,Menu,KgNone,Rent a Server,Louer un serveur,Server mieten,,Alquilar un servidor
btnReset,UI,Menu,KgNone,Reset Defaults,Réinitialiser par défaut,Zurücksetzen,,Restablecer predeterminados
btnResetGameOptions,UI,Menu,KgNone,Restore Mode Defaults,Restaurer le mode par défaut,Standardeinstellungen des Modus wiederherstellen,,Restablecer modo predeterminado
btnRetry,UI,Menu,KgNone,Retry,Réessayer,Erneut versuchen,,Volver a intentar
btnStart,UI,Menu,KgNone,Start,Commencer,Starten,,Empezar
btnTakeAll,UI,Menu,KgNone,Take All,Tout prendre,Alles nehmen,,Recoger todo
cbBloom,UI,Menu,KgNone,Bloom,Flou lumineux,Bloom,,Bloom
cbDOF,UI,Menu,KgNone,DOF,Profondeur de champ,Tiefenschärfe,,Profundidad de campo
